Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP1_Full64; Runtime version O-2018.09-SP1_Full64;  May 21 01:00 2021
Doing SDF annotation ...... Done
Started toggle measurement at         650...
mismatch cycle  867: out_BUS16_S1_T2: got 03b2, expected 03d3
mismatch cycle  867: out_BUS16_S3_T1: got 03b2, expected 03d3
mismatch cycle  867: out_BUS16_S3_T2: got 03b2, expected 03d3
mismatch cycle  867: out_BUS16_S3_T3: got 03b2, expected 03d3
mismatch cycle  867: out_BUS16_S3_T4: got 03b2, expected 03d3
mismatch cycle  868: out_BUS16_S1_T2: got 039c, expected 03b2
mismatch cycle  868: out_BUS16_S3_T1: got 039c, expected 03b2
mismatch cycle  868: out_BUS16_S3_T2: got 039c, expected 03b2
mismatch cycle  868: out_BUS16_S3_T3: got 039c, expected 03b2
mismatch cycle  868: out_BUS16_S3_T4: got 039c, expected 03b2
mismatch cycle  869: out_BUS16_S1_T2: got 0370, expected 039c
mismatch cycle  869: out_BUS16_S3_T1: got 0370, expected 039c
mismatch cycle  869: out_BUS16_S3_T2: got 0370, expected 039c
