Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP1_Full64; Runtime version O-2018.09-SP1_Full64;  May 21 00:58 2021
Doing SDF annotation ...... Done
Started toggle measurement at         650...
mismatch cycle  690: out_BUS16_S3_T2: got 04ac, expected 0485
mismatch cycle  690: out_BUS16_S3_T3: got 04ac, expected 0485
mismatch cycle  690: out_BUS16_S3_T4: got 04ac, expected 0485
mismatch cycle  692: out_BUS16_S1_T1: got 04fa, expected 04ac
mismatch cycle  692: out_BUS16_S3_T1: got 04fa, expected 04ac
mismatch cycle  692: out_BUS16_S3_T2: got 04fa, expected 04ac
mismatch cycle  692: out_BUS16_S3_T3: got 04fa, expected 04ac
mismatch cycle  692: out_BUS16_S3_T4: got 04fa, expected 04ac
mismatch cycle  693: out_BUS16_S1_T1: got 0478, expected 04fa
mismatch cycle  693: out_BUS16_S3_T1: got 0478, expected 04fa
mismatch cycle  693: out_BUS16_S3_T2: got 0478, expected 04fa
mismatch cycle  693: out_BUS16_S3_T3: got 0478, expected 04fa
mismatch cycle  693: out_BUS16_S3_T4: got 0478, expected 04fa
mismatch cycle  694: out_BUS16_S1_T1: got 0492, expected 0478
mismatch cycle  694: out_BUS16_S3_T1: got 0492, expected 0478
mismatch cycle  694: out_BUS16_S3_T2: got 0492, expected 0478
mismatch cycle  694: out_BUS16_S3_T3: got 0492, expected 0478
mismatch cycle  694: out_BUS16_S3_T4: got 0492, expected 0478
mismatch cycle  695: out_BUS16_S1_T1: got 04fa, expected 0492
mismatch cycle  695: out_BUS16_S3_T1: got 04fa, expected 0492
mismatch cycle  695: out_BUS16_S3_T2: got 04fa, expected 0492
mismatch cycle  695: out_BUS16_S3_T3: got 04fa, expected 0492
mismatch cycle  695: out_BUS16_S3_T4: got 04fa, expected 0492
mismatch cycle  696: out_BUS16_S1_T1: got 04b9, expected 04fa
mismatch cycle  696: out_BUS16_S3_T1: got 04b9, expected 04fa
mismatch cycle  696: out_BUS16_S3_T2: got 04b9, expected 04fa
mismatch cycle  696: out_BUS16_S3_T3: got 04b9, expected 04fa
mismatch cycle  696: out_BUS16_S3_T4: got 04b9, expected 04fa
mismatch cycle  697: out_BUS16_S1_T1: got 0485, expected 04b9
mismatch cycle  697: out_BUS16_S3_T1: got 0485, expected 04b9
mismatch cycle  697: out_BUS16_S3_T2: got 0485, expected 04b9
mismatch cycle  697: out_BUS16_S3_T3: got 0485, expected 04b9
mismatch cycle  697: out_BUS16_S3_T4: got 0485, expected 04b9
mismatch cycle  698: out_BUS16_S1_T1: got 04b9, expected 0485
mismatch cycle  698: out_BUS16_S3_T1: got 04b9, expected 0485
mismatch cycle  698: out_BUS16_S3_T2: got 04b9, expected 0485
mismatch cycle  698: out_BUS16_S3_T3: got 04b9, expected 0485
mismatch cycle  698: out_BUS16_S3_T4: got 04b9, expected 0485
mismatch cycle  699: out_BUS16_S1_T1: got 04fa, expected 04b9
mismatch cycle  699: out_BUS16_S3_T1: got 04fa, expected 04b9
mismatch cycle  699: out_BUS16_S3_T2: got 04fa, expected 04b9
mismatch cycle  699: out_BUS16_S3_T3: got 04fa, expected 04b9
mismatch cycle  699: out_BUS16_S3_T4: got 04fa, expected 04b9
mismatch cycle  700: out_BUS16_S1_T1: got 04ed, expected 04fa
mismatch cycle  700: out_BUS16_S3_T1: got 04ed, expected 04fa
mismatch cycle  700: out_BUS16_S3_T2: got 04ed, expected 04fa
mismatch cycle  700: out_BUS16_S3_T3: got 04ed, expected 04fa
mismatch cycle  700: out_BUS16_S3_T4: got 04ed, expected 04fa
mismatch cycle  701: out_BUS16_S1_T1: got 04fa, expected 04ed
mismatch cycle  701: out_BUS16_S3_T1: got 04fa, expected 04ed
mismatch cycle  701: out_BUS16_S3_T2: got 04fa, expected 04ed
mismatch cycle  701: out_BUS16_S3_T3: got 04fa, expected 04ed
mismatch cycle  701: out_BUS16_S3_T4: got 04fa, expected 04ed
mismatch cycle  702: out_BUS16_S1_T1: got 0521, expected 04fa
mismatch cycle  702: out_BUS16_S3_T1: got 0521, expected 04fa
mismatch cycle  702: out_BUS16_S3_T2: got 0521, expected 04fa
mismatch cycle  702: out_BUS16_S3_T3: got 0521, expected 04fa
mismatch cycle  702: out_BUS16_S3_T4: got 0521, expected 04fa
mismatch cycle  703: out_BUS16_S1_T1: got 04ed, expected 0521
mismatch cycle  703: out_BUS16_S3_T1: got 04ed, expected 0521
mismatch cycle  703: out_BUS16_S3_T2: got 04ed, expected 0521
mismatch cycle  703: out_BUS16_S3_T3: got 04ed, expected 0521
mismatch cycle  703: out_BUS16_S3_T4: got 04ed, expected 0521
mismatch cycle  704: out_BUS16_S1_T1: got 04c6, expected 04ed
mismatch cycle  704: out_BUS16_S3_T1: got 04c6, expected 04ed
mismatch cycle  704: out_BUS16_S3_T2: got 04c6, expected 04ed
mismatch cycle  704: out_BUS16_S3_T3: got 04c6, expected 04ed
mismatch cycle  704: out_BUS16_S3_T4: got 04c6, expected 04ed
mismatch cycle  705: out_BUS16_S1_T1: got 04ac, expected 04c6
mismatch cycle  705: out_BUS16_S3_T1: got 04ac, expected 04c6
mismatch cycle  705: out_BUS16_S3_T2: got 04ac, expected 04c6
mismatch cycle  705: out_BUS16_S3_T3: got 04ac, expected 04c6
mismatch cycle  705: out_BUS16_S3_T4: got 04ac, expected 04c6
mismatch cycle  706: out_BUS16_S1_T1: got 04c6, expected 04ac
mismatch cycle  706: out_BUS16_S3_T1: got 04c6, expected 04ac
mismatch cycle  706: out_BUS16_S3_T2: got 04c6, expected 04ac
mismatch cycle  706: out_BUS16_S3_T3: got 04c6, expected 04ac
mismatch cycle  706: out_BUS16_S3_T4: got 04c6, expected 04ac
mismatch cycle  707: out_BUS16_S1_T1: got 049f, expected 04c6
mismatch cycle  707: out_BUS16_S3_T1: got 049f, expected 04c6
mismatch cycle  707: out_BUS16_S3_T2: got 049f, expected 04c6
mismatch cycle  707: out_BUS16_S3_T3: got 049f, expected 04c6
mismatch cycle  707: out_BUS16_S3_T4: got 049f, expected 04c6
mismatch cycle  708: out_BUS16_S1_T1: got 04c6, expected 049f
mismatch cycle  708: out_BUS16_S3_T1: got 04c6, expected 049f
mismatch cycle  708: out_BUS16_S3_T2: got 04c6, expected 049f
mismatch cycle  708: out_BUS16_S3_T3: got 04c6, expected 049f
mismatch cycle  708: out_BUS16_S3_T4: got 04c6, expected 049f
mismatch cycle  709: out_BUS16_S1_T1: got 04b9, expected 04c6
mismatch cycle  709: out_BUS16_S3_T1: got 04b9, expected 04c6
mismatch cycle  709: out_BUS16_S3_T2: got 04b9, expected 04c6
mismatch cycle  709: out_BUS16_S3_T3: got 04b9, expected 04c6
mismatch cycle  709: out_BUS16_S3_T4: got 04b9, expected 04c6
mismatch cycle  710: out_BUS16_S1_T1: got 049f, expected 04b9
mismatch cycle  710: out_BUS16_S3_T1: got 049f, expected 04b9
mismatch cycle  710: out_BUS16_S3_T2: got 049f, expected 04b9
mismatch cycle  710: out_BUS16_S3_T3: got 049f, expected 04b9
mismatch cycle  710: out_BUS16_S3_T4: got 049f, expected 04b9
mismatch cycle  711: out_BUS16_S1_T1: got 0492, expected 049f
mismatch cycle  711: out_BUS16_S3_T1: got 0492, expected 049f
mismatch cycle  711: out_BUS16_S3_T2: got 0492, expected 049f
mismatch cycle  711: out_BUS16_S3_T3: got 0492, expected 049f
mismatch cycle  711: out_BUS16_S3_T4: got 0492, expected 049f
mismatch cycle  713: out_BUS16_S1_T1: got 04fa, expected 0492
mismatch cycle  713: out_BUS16_S3_T1: got 04fa, expected 0492
mismatch cycle  713: out_BUS16_S3_T2: got 04fa, expected 0492
mismatch cycle  713: out_BUS16_S3_T3: got 04fa, expected 0492
mismatch cycle  713: out_BUS16_S3_T4: got 04fa, expected 0492
mismatch cycle  714: out_BUS16_S1_T1: got 04d3, expected 04fa
mismatch cycle  714: out_BUS16_S3_T1: got 04d3, expected 04fa
mismatch cycle  714: out_BUS16_S3_T2: got 04d3, expected 04fa
mismatch cycle  714: out_BUS16_S3_T3: got 04d3, expected 04fa
mismatch cycle  714: out_BUS16_S3_T4: got 04d3, expected 04fa
mismatch cycle  715: out_BUS16_S1_T1: got 049f, expected 04d3
mismatch cycle  715: out_BUS16_S3_T1: got 049f, expected 04d3
mismatch cycle  715: out_BUS16_S3_T2: got 049f, expected 04d3
mismatch cycle  715: out_BUS16_S3_T3: got 049f, expected 04d3
mismatch cycle  715: out_BUS16_S3_T4: got 049f, expected 04d3
mismatch cycle  716: out_BUS16_S1_T1: got 04d3, expected 049f
mismatch cycle  716: out_BUS16_S3_T1: got 04d3, expected 049f
mismatch cycle  716: out_BUS16_S3_T2: got 04d3, expected 049f
mismatch cycle  716: out_BUS16_S3_T3: got 04d3, expected 049f
mismatch cycle  716: out_BUS16_S3_T4: got 04d3, expected 049f
mismatch cycle  718: out_BUS16_S1_T1: got 04e0, expected 04d3
mismatch cycle  718: out_BUS16_S3_T1: got 04e0, expected 04d3
mismatch cycle  718: out_BUS16_S3_T2: got 04e0, expected 04d3
mismatch cycle  718: out_BUS16_S3_T3: got 04e0, expected 04d3
mismatch cycle  718: out_BUS16_S3_T4: got 04e0, expected 04d3
mismatch cycle  719: out_BUS16_S1_T1: got 0507, expected 04e0
mismatch cycle  719: out_BUS16_S3_T1: got 0507, expected 04e0
mismatch cycle  719: out_BUS16_S3_T2: got 0507, expected 04e0
mismatch cycle  719: out_BUS16_S3_T3: got 0507, expected 04e0
mismatch cycle  719: out_BUS16_S3_T4: got 0507, expected 04e0
mismatch cycle  720: out_BUS16_S1_T1: got 049f, expected 0507
mismatch cycle  720: out_BUS16_S3_T1: got 049f, expected 0507
mismatch cycle  720: out_BUS16_S3_T2: got 049f, expected 0507
mismatch cycle  720: out_BUS16_S3_T3: got 049f, expected 0507
mismatch cycle  720: out_BUS16_S3_T4: got 049f, expected 0507
mismatch cycle  721: out_BUS16_S1_T1: got 04ed, expected 049f
mismatch cycle  721: out_BUS16_S3_T1: got 04ed, expected 049f
mismatch cycle  721: out_BUS16_S3_T2: got 04ed, expected 049f
mismatch cycle  721: out_BUS16_S3_T3: got 04ed, expected 049f
mismatch cycle  721: out_BUS16_S3_T4: got 04ed, expected 049f
mismatch cycle  722: out_BUS16_S1_T1: got 04c6, expected 04ed
mismatch cycle  722: out_BUS16_S3_T1: got 04c6, expected 04ed
mismatch cycle  722: out_BUS16_S3_T2: got 04c6, expected 04ed
mismatch cycle  722: out_BUS16_S3_T3: got 04c6, expected 04ed
mismatch cycle  722: out_BUS16_S3_T4: got 04c6, expected 04ed
mismatch cycle  723: out_BUS16_S1_T1: got 045e, expected 04c6
mismatch cycle  723: out_BUS16_S3_T1: got 045e, expected 04c6
mismatch cycle  723: out_BUS16_S3_T2: got 045e, expected 04c6
mismatch cycle  723: out_BUS16_S3_T3: got 045e, expected 04c6
mismatch cycle  723: out_BUS16_S3_T4: got 045e, expected 04c6
mismatch cycle  724: out_BUS16_S1_T1: got 042a, expected 045e
mismatch cycle  724: out_BUS16_S3_T1: got 042a, expected 045e
mismatch cycle  724: out_BUS16_S3_T2: got 042a, expected 045e
mismatch cycle  724: out_BUS16_S3_T3: got 042a, expected 045e
mismatch cycle  724: out_BUS16_S3_T4: got 042a, expected 045e
mismatch cycle  725: out_BUS16_S1_T1: got 0492, expected 042a
mismatch cycle  725: out_BUS16_S3_T1: got 0492, expected 042a
mismatch cycle  725: out_BUS16_S3_T2: got 0492, expected 042a
mismatch cycle  725: out_BUS16_S3_T3: got 0492, expected 042a
mismatch cycle  725: out_BUS16_S3_T4: got 0492, expected 042a
mismatch cycle  726: out_BUS16_S1_T1: got 0478, expected 0492
mismatch cycle  726: out_BUS16_S3_T1: got 0478, expected 0492
mismatch cycle  726: out_BUS16_S3_T2: got 0478, expected 0492
mismatch cycle  726: out_BUS16_S3_T3: got 0478, expected 0492
mismatch cycle  726: out_BUS16_S3_T4: got 0478, expected 0492
mismatch cycle  727: out_BUS16_S1_T1: got 04c6, expected 0478
mismatch cycle  727: out_BUS16_S3_T1: got 04c6, expected 0478
